Year,Month,Sales
1964,Jan,2815
1964,Feb,2672
1964,Mar,2755
1964,Apr,2721
1964,May,2946
1964,Jun,3036
1964,Jul,2282
1964,Aug,2212
1964,Sep,2922
1964,Oct,4301
1964,Nov,5764
1964,Dec,7312
1965,Jan,2541
1965,Feb,2475
1965,Mar,3031
1965,Apr,3266
1965,May,3776
1965,Jun,3230
1965,Jul,3028
1965,Aug,1759
1965,Sep,3595
1965,Oct,4474
1965,Nov,6838
1965,Dec,8357
1966,Jan,3113
1966,Feb,3006
1966,Mar,4047
1966,Apr,3523
1966,May,3937
1966,Jun,3986
1966,Jul,3260
1966,Aug,1573
1966,Sep,3528
1966,Oct,5211
1966,Nov,7614
1966,Dec,9254
1967,Jan,5375
1967,Feb,3088
1967,Mar,3718
1967,Apr,4514
1967,May,4520
1967,Jun,4539
1967,Jul,3663
1967,Aug,1643
1967,Sep,4739
1967,Oct,5428
1967,Nov,8314
1967,Dec,10651
1968,Jan,3633
1968,Feb,4292
1968,Mar,4154
1968,Apr,4121
1968,May,4647
1968,Jun,4753
1968,Jul,3965
1968,Aug,1723
1968,Sep,5048
1968,Oct,6922
1968,Nov,9858
1968,Dec,11331
1969,Jan,4016
1969,Feb,3957
1969,Mar,4510
1969,Apr,4276
1969,May,4968
1969,Jun,4677
1969,Jul,3523
1969,Aug,1821
1969,Sep,5222
1969,Oct,6872
1969,Nov,10803
1969,Dec,13916
1970,Jan,2639
1970,Feb,2899
1970,Mar,3370
1970,Apr,3740
1970,May,2927
1970,Jun,3986
1970,Jul,4217
1970,Aug,1738
1970,Sep,5221
1970,Oct,6424
1970,Nov,9842
1970,Dec,13076
1971,Jan,3934
1971,Feb,3162
1971,Mar,4286
1971,Apr,4676
1971,May,5010
1971,Jun,4874
1971,Jul,4633
1971,Aug,1659
1971,Sep,5951
1971,Oct,6981
1971,Nov,9851
1971,Dec,12670
1972,Jan,4348
1972,Feb,3564
1972,Mar,4577
1972,Apr,4788
1972,May,4618
1972,Jun,5312
1972,Jul,4298
1972,Aug,1413
1972,Sep,5877
