Year,GDPpercapita
1960,81.28476375
1961,84.42643693
1962,88.9149186
1963,100.0485917
1964,114.315161
1965,118.0633825
1966,89.05358349
1967,95.33078294
1968,98.83123469
1969,106.4963794
1970,111.2575706
1971,117.3607381
1972,121.6922886
1973,142.2700813
1974,161.7630106
1975,156.380095
1976,159.4077985
1977,184.2728749
1978,203.5587046
1979,221.6879474
1980,263.8407198
1981,267.7110103
1982,271.3335961
1983,288.3071697
1984,273.9018266
1985,293.4886471
1986,307.395346
1987,337.0639962
1988,350.6727391
1989,342.7238981
1990,363.9640873
1991,300.0966366
1992,313.8601101
1993,298.2176638
1994,342.7175187
1995,370.1013553
1996,396.0146123
1997,411.3877208
1998,409.1943859
1999,437.5861178
2000,438.8646304
2001,447.0138966
2002,466.2008042
2003,541.1352279
2004,621.3183767
2005,707.008019
2006,792.0259698
2007,1018.166373
2008,991.4846304
2009,1090.317765
2010,1345.770153
2011,1461.671957
2012,1446.98541
2013,1452.195373
2014,1576.004018
2015,1606.038285
2016,1717.473878
2017,1939.612984
