Year,Month,CO2 ppm
1965,Jan,319.32
1965,Feb,320.36
1965,Mar,320.82
1965,Apr,322.06
1965,May,322.17
1965,Jun,321.95
1965,Jul,321.2
1965,Aug,318.81
1965,Sep,317.82
1965,Oct,317.37
1965,Nov,318.93
1965,Dec,319.09
1966,Jan,319.94
1966,Feb,320.98
1966,Mar,321.81
1966,Apr,323.03
1966,May,323.36
1966,Jun,323.11
1966,Jul,321.65
1966,Aug,319.64
1966,Sep,317.86
1966,Oct,317.25
1966,Nov,319.06
1966,Dec,320.26
1967,Jan,321.65
1967,Feb,321.81
1967,Mar,322.36
1967,Apr,323.67
1967,May,324.17
1967,Jun,323.39
1967,Jul,321.93
1967,Aug,320.29
1967,Sep,318.58
1967,Oct,318.6
1967,Nov,319.98
1967,Dec,321.25
1968,Jan,321.88
1968,Feb,322.47
1968,Mar,323.17
1968,Apr,324.23
1968,May,324.88
1968,Jun,324.75
1968,Jul,323.47
1968,Aug,321.34
1968,Sep,319.56
1968,Oct,319.45
1968,Nov,320.45
1968,Dec,321.92
1969,Jan,323.4
1969,Feb,324.21
1969,Mar,325.33
1969,Apr,326.31
1969,May,327.01
1969,Jun,326.24
1969,Jul,325.37
1969,Aug,323.12
1969,Sep,321.85
1969,Oct,321.31
1969,Nov,322.31
1969,Dec,323.72
1970,Jan,324.6
1970,Feb,325.57
1970,Mar,326.55
1970,Apr,327.8
1970,May,327.8
1970,Jun,327.54
1970,Jul,326.28
1970,Aug,324.63
1970,Sep,323.12
1970,Oct,323.11
1970,Nov,323.99
1970,Dec,325.09
1971,Jan,326.12
1971,Feb,326.61
1971,Mar,327.16
1971,Apr,327.92
1971,May,329.14
1971,Jun,328.8
1971,Jul,327.52
1971,Aug,325.62
1971,Sep,323.61
1971,Oct,323.8
1971,Nov,325.1
1971,Dec,326.25
1972,Jan,326.93
1972,Feb,327.83
1972,Mar,327.95
1972,Apr,329.91
1972,May,330.22
1972,Jun,329.25
1972,Jul,328.11
1972,Aug,326.39
1972,Sep,324.97
1972,Oct,325.32
1972,Nov,326.54
1972,Dec,327.71
1973,Jan,328.73
1973,Feb,329.69
1973,Mar,330.47
1973,Apr,331.69
1973,May,332.65
1973,Jun,332.24
1973,Jul,331.03
1973,Aug,329.36
1973,Sep,327.6
1973,Oct,327.29
1973,Nov,328.28
1973,Dec,328.79
1974,Jan,329.45
1974,Feb,330.89
1974,Mar,331.63
1974,Apr,332.85
1974,May,333.28
1974,Jun,332.47
1974,Jul,331.34
1974,Aug,329.53
1974,Sep,327.57
1974,Oct,327.57
1974,Nov,328.53
1974,Dec,329.69
1975,Jan,330.45
1975,Feb,330.97
1975,Mar,331.64
1975,Apr,332.87
1975,May,333.61
1975,Jun,333.55
1975,Jul,331.9
1975,Aug,330.05
1975,Sep,328.58
1975,Oct,328.31
1975,Nov,329.41
1975,Dec,330.63
1976,Jan,331.63
1976,Feb,332.46
1976,Mar,333.36
1976,Apr,334.45
1976,May,334.82
1976,Jun,334.32
1976,Jul,333.05
1976,Aug,330.87
1976,Sep,329.24
1976,Oct,328.87
1976,Nov,330.18
1976,Dec,331.5
1977,Jan,332.81
1977,Feb,333.23
1977,Mar,334.55
1977,Apr,335.82
1977,May,336.44
1977,Jun,335.99
1977,Jul,334.65
1977,Aug,332.41
1977,Sep,331.32
1977,Oct,330.73
1977,Nov,332.05
1977,Dec,333.53
1978,Jan,334.66
1978,Feb,335.07
1978,Mar,336.33
1978,Apr,337.39
1978,May,337.65
1978,Jun,337.57
1978,Jul,336.25
1978,Aug,334.39
1978,Sep,332.44
1978,Oct,332.25
1978,Nov,333.59
1978,Dec,334.76
1979,Jan,335.89
1979,Feb,336.44
1979,Mar,337.63
1979,Apr,338.54
1979,May,339.06
1979,Jun,338.95
1979,Jul,337.41
1979,Aug,335.71
1979,Sep,333.68
1979,Oct,333.69
1979,Nov,335.05
1979,Dec,336.53
1980,Jan,337.81
1980,Feb,338.16
1980,Mar,339.88
1980,Apr,340.57
1980,May,341.19
1980,Jun,340.87
1980,Jul,339.25
1980,Aug,337.19
1980,Sep,335.49
1980,Oct,336.63
1980,Nov,337.74
1980,Dec,338.36
